segment_id,geolocation_type,geolocation_id,sensor_id,snr_type,date_index,target_type
1,D,7,12,LowSNR,3,human
2,C,5,5,HighSNR,4,human
3,C,5,5,HighSNR,4,human
4,C,5,5,HighSNR,4,human
5,C,5,5,HighSNR,4,human
6,C,5,5,HighSNR,4,human
7,C,5,5,HighSNR,4,human
8,C,5,5,HighSNR,4,human
9,C,5,5,HighSNR,4,human
10,C,5,5,HighSNR,4,human
11,C,5,5,HighSNR,4,human
12,C,5,5,HighSNR,4,human
13,C,5,5,HighSNR,4,human
14,C,5,5,HighSNR,4,human
15,C,5,5,HighSNR,4,human
16,C,5,5,HighSNR,4,human
17,C,5,5,HighSNR,4,human
18,C,5,5,HighSNR,4,human
19,C,5,5,HighSNR,4,human
20,C,5,5,HighSNR,4,human
21,C,5,5,HighSNR,4,human
22,C,5,5,HighSNR,4,human
23,C,5,5,HighSNR,4,human
24,C,5,5,HighSNR,4,human
25,C,5,5,HighSNR,4,human
26,C,5,5,HighSNR,4,human
27,C,5,5,HighSNR,4,human
28,C,5,5,HighSNR,4,human
29,C,5,5,HighSNR,4,human
30,C,5,5,HighSNR,4,human
31,C,5,5,HighSNR,4,human
32,C,5,5,HighSNR,4,human
33,C,5,5,HighSNR,4,human
34,C,5,5,HighSNR,4,human
35,C,5,5,HighSNR,4,human
36,C,5,5,HighSNR,4,human
37,C,5,5,HighSNR,4,human
38,C,5,5,HighSNR,4,human
39,C,5,5,HighSNR,4,human
40,C,5,5,HighSNR,4,human
41,C,5,5,HighSNR,4,human
42,C,5,5,HighSNR,4,human
43,C,5,5,HighSNR,4,human
44,C,5,5,HighSNR,4,human
45,C,5,5,HighSNR,4,human
46,C,5,5,HighSNR,4,human
47,C,5,5,HighSNR,4,human
48,C,5,5,HighSNR,4,human
49,C,5,5,HighSNR,4,human
50,C,5,5,HighSNR,4,human
51,C,5,5,HighSNR,4,human
52,C,5,5,HighSNR,4,human
53,C,5,5,HighSNR,4,human
54,C,5,5,HighSNR,4,human
55,C,5,5,HighSNR,4,human
56,C,5,5,HighSNR,4,human
57,C,5,5,HighSNR,4,human
58,C,5,5,HighSNR,4,human
59,C,5,5,HighSNR,4,human
60,C,5,5,HighSNR,4,human
61,C,5,5,HighSNR,4,human
62,C,5,5,HighSNR,4,human
63,C,5,5,HighSNR,4,human
64,C,5,5,HighSNR,4,human
65,C,5,5,HighSNR,4,human
66,C,5,5,HighSNR,4,human
67,C,5,5,HighSNR,4,human
68,C,5,5,HighSNR,4,human
69,C,5,5,HighSNR,4,human
70,C,5,5,HighSNR,4,human
71,C,5,5,HighSNR,4,human
72,C,5,5,HighSNR,4,human
73,C,5,5,HighSNR,4,human
74,C,5,5,HighSNR,4,human
75,C,5,5,HighSNR,4,human
76,C,5,5,HighSNR,4,human
77,C,5,5,HighSNR,4,human
78,C,5,5,HighSNR,4,human
79,C,5,5,HighSNR,4,human
80,C,5,5,HighSNR,4,human
81,C,5,5,HighSNR,4,human
82,C,5,5,HighSNR,4,human
83,C,5,5,HighSNR,4,human
84,C,5,5,HighSNR,4,human
85,C,5,5,HighSNR,4,human
86,C,5,5,HighSNR,4,human
87,C,5,5,HighSNR,4,human
88,C,5,5,HighSNR,4,human
89,C,5,5,HighSNR,4,human
90,C,5,5,HighSNR,4,human
91,C,5,5,HighSNR,4,human
92,C,5,5,HighSNR,4,human
93,C,5,5,HighSNR,4,human
94,C,5,5,HighSNR,4,human
95,C,5,5,HighSNR,4,human
96,C,5,5,HighSNR,4,human
97,C,5,5,HighSNR,4,human
98,C,5,5,HighSNR,4,human
99,C,5,5,HighSNR,4,human
100,C,5,5,HighSNR,4,human
101,C,5,5,HighSNR,4,human
102,C,5,5,HighSNR,4,human
103,C,5,5,HighSNR,4,human
104,C,5,5,HighSNR,4,human
105,C,5,5,HighSNR,4,human
106,C,5,5,HighSNR,4,human
107,C,5,5,HighSNR,4,human
108,C,5,5,HighSNR,4,human
109,C,5,5,HighSNR,4,human
110,C,5,5,HighSNR,4,human
111,C,5,5,HighSNR,4,human
112,C,5,5,HighSNR,4,human
113,C,5,5,HighSNR,4,human
114,C,5,5,HighSNR,4,human
115,C,5,5,HighSNR,4,human
116,C,5,5,HighSNR,4,human
117,C,5,5,HighSNR,4,human
118,C,5,5,HighSNR,4,human
119,C,5,5,HighSNR,4,human
120,C,5,5,HighSNR,4,human
121,C,5,5,HighSNR,4,human
122,C,5,5,HighSNR,4,human
123,C,5,5,HighSNR,4,human
124,C,5,5,HighSNR,4,human
125,C,5,5,HighSNR,4,human
126,C,5,5,HighSNR,4,human
127,C,5,5,HighSNR,4,human
128,C,5,5,HighSNR,4,human
129,C,5,5,HighSNR,4,human
130,C,5,5,HighSNR,4,human
131,C,5,5,HighSNR,4,human
132,C,5,5,HighSNR,4,human
133,C,5,5,HighSNR,4,human
134,C,5,5,HighSNR,4,human
135,C,5,5,HighSNR,4,human
136,C,5,5,HighSNR,4,human
137,C,5,5,HighSNR,4,human
138,C,5,5,HighSNR,4,human
139,C,5,5,HighSNR,4,human
140,C,5,5,HighSNR,4,human
141,C,5,5,HighSNR,4,human
142,C,5,5,HighSNR,4,human
143,C,5,5,HighSNR,4,human
144,C,5,5,HighSNR,4,human
145,C,5,5,HighSNR,4,human
146,C,5,5,HighSNR,4,human
147,C,5,5,HighSNR,4,human
148,C,5,5,HighSNR,4,human
149,C,5,5,HighSNR,4,human
150,C,5,5,HighSNR,4,human
151,C,5,5,HighSNR,4,human
152,C,5,5,HighSNR,4,human
153,C,5,5,HighSNR,4,human
154,C,5,5,HighSNR,4,human
155,C,5,5,HighSNR,4,human
156,C,5,5,HighSNR,4,human
157,C,5,5,HighSNR,4,human
158,C,5,5,HighSNR,4,human
159,C,5,5,HighSNR,4,human
160,C,5,5,HighSNR,4,human
161,C,5,5,HighSNR,4,human
162,C,5,5,HighSNR,4,human
163,C,5,5,HighSNR,4,human
164,C,5,5,HighSNR,4,human
165,C,5,5,HighSNR,4,human
166,C,5,5,HighSNR,4,human
167,C,5,5,HighSNR,4,human
168,C,5,5,HighSNR,4,human
169,C,5,5,HighSNR,4,human
170,C,5,5,HighSNR,4,human
171,C,5,5,HighSNR,4,human
172,C,5,5,HighSNR,4,human
173,C,5,5,HighSNR,4,human
174,C,5,5,HighSNR,4,human
175,C,5,5,HighSNR,4,human
176,C,5,5,HighSNR,4,human
177,C,5,5,HighSNR,4,human
178,C,5,5,HighSNR,4,human
179,C,5,5,HighSNR,4,human
180,C,5,5,HighSNR,4,human
181,C,5,5,HighSNR,4,human
182,C,5,5,HighSNR,4,human
183,C,5,5,HighSNR,4,human
184,C,5,5,HighSNR,4,human
185,C,5,5,HighSNR,4,human
186,C,5,5,HighSNR,4,human
187,C,5,5,HighSNR,4,human
188,C,5,5,HighSNR,4,human
189,C,5,5,HighSNR,4,human
190,C,5,5,HighSNR,4,human
191,C,5,5,HighSNR,4,human
192,C,5,5,HighSNR,4,human
193,C,5,5,HighSNR,4,human
194,C,5,5,HighSNR,4,human
195,C,5,5,HighSNR,4,human
196,C,5,5,HighSNR,4,human
197,C,5,5,HighSNR,4,human
198,C,5,5,HighSNR,4,human
199,C,5,5,HighSNR,4,human
200,C,5,5,HighSNR,4,human
201,C,5,5,HighSNR,4,human
202,C,5,5,HighSNR,4,human
203,C,5,5,HighSNR,4,human
204,C,5,5,HighSNR,4,human
205,C,5,5,HighSNR,4,human
206,C,5,5,HighSNR,4,human
207,C,5,5,HighSNR,4,human
208,C,5,5,HighSNR,4,human
209,C,5,5,HighSNR,4,human
210,C,5,5,HighSNR,4,human
211,C,5,5,HighSNR,4,human
212,C,5,5,HighSNR,4,human
213,C,5,5,HighSNR,4,human
214,C,5,5,HighSNR,4,human
215,C,5,5,HighSNR,4,human
216,C,5,5,HighSNR,4,human
217,C,5,5,HighSNR,4,human
218,C,5,5,HighSNR,4,human
219,C,5,5,HighSNR,4,human
220,C,5,5,HighSNR,4,human
221,C,5,5,HighSNR,4,human
222,C,5,5,HighSNR,4,human
223,C,5,5,HighSNR,4,human
224,C,5,5,HighSNR,4,human
225,C,5,5,HighSNR,4,human
226,C,5,5,HighSNR,4,human
227,C,5,5,HighSNR,4,human
228,C,5,5,HighSNR,4,human
229,C,5,5,HighSNR,4,human
